,,,,,,,,
Параметры:,,,Начало периода: 01.01.2016 0:00:00,,,,,
,,,Конец периода: 31.12.2016 23:59:59,,,,,
,,,Склады: Щука,,,,,
,,,,,,,,
Период,,Склад,,Номенклатура,,Код,Количество начальный остаток,Количество расход
02.01.2016,,Щука,,Автовизитка Свяжитесь с моим адвокатом,,99-00000773,3.000,1.000
02.01.2016,,Щука,,Антистресс Инопланетянин мялка (16 шт. в пачке),,01-00001814,15.000,1.000
02.01.2016,,Щука,,"Ароматизатор Умею водить, заводить и разводить",,01-00000345,7.000,1.000
02.01.2016,,Щука,,Батарейки пальчиковые АА  LR06 16 в уп. батарейка,,УТ000001013,356.000,3.000
02.01.2016,,Щука,,Блокнот Scratch note,,99-00000745,5.000,2.000
02.01.2016,,Щука,,Блокнотик Наполеоновские планы покорения,,СК-00001145,1.000,1.000
02.01.2016,,Щука,,Брелок Любимая мама (золотой),,99-00000144,6.000,1.000
02.01.2016,,Щука,,Брелок любимый папа,,99-00000275,6.000,1.000
02.01.2016,,Щука,,Брелок Пончик ,,01-00001243,74.000,1.000
02.01.2016,,Щука,,"Брелок Человечек (открывалка,фонарик,рулетка)",,06-00000104,8.000,1.000
02.01.2016,,Щука,,Бумага крафт С Новым годом Олени 70 х100 см ,,99-00000033,10.000,1.000
02.01.2016,,Щука,,Бумага крафт Сердце Поздравляю (лист) 20 шт/уп,,99-00000797,14.000,1.000
02.01.2016,,Щука,,Грамота Желание,,УТ000000028,6.000,1.000
02.01.2016,,Щука,,Домино в металлической коробке,,УТ000000550,1.000,1.000
02.01.2016,,Щука,,"Жвачка ""Love is..."" блок один вкус",,УТ-00000024,126.000,3.000
02.01.2016,,Щука,,ИА Зайка с морковкой,,01-00001842,4.000,1.000
02.01.2016,,Щука,,ИА Обезьяна Счастье есть(30 см),,99-00001684,3.000,1.000
02.01.2016,,Щука,,Игра Ахи вздохи набор,,01-00002650,5.000,1.000
02.01.2016,,Щука,,Игра Воображариум,,01-00002652,3.000,2.000
02.01.2016,,Щука,,Игра настольная Лото,,99-00001581,2.000,1.000
02.01.2016,,Щука,,Игра с карточками Для двоих,,01-00002938,20.000,3.000
02.01.2016,,Щука,,Игра Скажи иначе,,01-00003466,5.000,1.000
02.01.2016,,Щука,,"Игра Территория соблазна набор малый кубики, карты",,01-00003465,4.000,1.000
02.01.2016,,Щука,,Игра Уно,,00-00000005,20.000,1.000
02.01.2016,,Щука,,Камни для виски Whiskey Stones ,,01-00001587,4.000,1.000
02.01.2016,,Щука,,Карнавальный набор Ковбой,,99-00001175,2.000,1.000
02.01.2016,,Щука,,Карты Территория соблазна,,06-00000007,25.000,1.000
02.01.2016,,Щука,,Каска Босс,,УТ000000863,4.000,1.000
02.01.2016,,Щука,,Каска с подставкой под банки Футбол,,00-00000061,2.000,1.000
02.01.2016,,Щука,,Книга шкатулка Последняя загадка Да Винчи Дерево Малый,,01-00002894,3.000,1.000
02.01.2016,,Щука,,Колпак новогодний ,,01-00000424,37.000,3.000
02.01.2016,,Щука,,Кружка в вязаном чехле Для тебя,,99-00000130,1.000,1.000
02.01.2016,,Щука,,Кружка Сердце в стиле пиксель-арт,,01-00001977,2.000,1.000
02.01.2016,,Щука,,Леденец Круглый мини 15 гр,,99-00000708,23.000,1.000
02.01.2016,,Щука,,Леденец Круглый со вкусом Пина колада,,99-00000704,13.000,1.000
02.01.2016,,Щука,,Леденец Сердце,,99-00000554,5.000,1.000
02.01.2016,,Щука,,Леденец Трость макси 28гр - (65 шт. в пачке),,99-00000651,11.000,3.000
02.01.2016,,Щука,,Леденец Трость мини 15гр,,99-00000555,7.000,2.000
02.01.2016,,Щука,,Маска Гая Фокса Вендетта,,00-00000401,12.000,1.000
02.01.2016,,Щука,,Маска для сна Розовая пантера,,01-00000681,4.000,1.000
02.01.2016,,Щука,,Массажер для тела Ктулху,,99-00000276,6.000,1.000
02.01.2016,,Щука,,Монета Да/Нет,,01-00002130,14.000,3.000
02.01.2016,,Щука,,Монопод для селфи (с проводом AUX),,99-00000691,10.000,1.000
02.01.2016,,Щука,,Мыльные пузыри нелопающиеся (5 шт. в пачке),,РТ-00000009,292.000,4.000
02.01.2016,,Щука,,Набор для покера 200 фишек в жестяной коробке),,01-00002722,9.000,1.000
02.01.2016,,Щука,,"Набор эротический (наручники,маска) ",,01-00001418,3.000,1.000
02.01.2016,,Щука,,"Накладные усы, набор",,00-00000406,47.000,1.000
02.01.2016,,Щука,,Напиток Dr Pepper Cherry,,01-00003151,57.000,5.000
02.01.2016,,Щука,,Напиток Dr Pepper Diet,,99-00001084,47.000,2.000
02.01.2016,,Щука,,Напиток Доктор Пеппер (в пачке 12 шт.),,СК-00000830,62.000,1.000
02.01.2016,,Щука,,Наушники Macarons макаруны,,99-00000742,2.000,1.000
02.01.2016,,Щука,,Наушники Смайлик вакуумные в упаковке 12 шт.,,01-00001117,12.000,1.000
02.01.2016,,Щука,,НИ Кружка Angry Birds 3D красная,,01-00001965,1.000,1.000
02.01.2016,,Щука,,Ободок Царь,,01-00001078,1.000,1.000
02.01.2016,,Щука,,Пакет Заслуженная награда L,,01-00000687,2.000,1.000
02.01.2016,,Щука,,Пакет Мандарины ML.,,99-00001612,6.000,1.000
02.01.2016,,Щука,,Пакет Телевизор MS (НГ),,99-00001632,28.000,1.000
02.01.2016,,Щука,,Пакет Тому у кого все есть S,,99-00001292,1.000,1.000
02.01.2016,,Щука,,Перчатки для сенсорных экранов,,01-00002608,3.000,1.000
02.01.2016,,Щука,,Пистолет офисный Волк,,01-00000247,2.000,1.000
02.01.2016,,Щука,,Подушка автомобильная Царь,,01-00001428,3.000,1.000
02.01.2016,,Щука,,Подушка Мерлин Монро,,99-00001097,2.000,1.000
02.01.2016,,Щука,,Полисилк Красный / Золото,,01-00001480,92.000,3.000
02.01.2016,,Щука,,Радуга Слинки,,УТ000000747,30.000,2.000
02.01.2016,,Щука,,Рамка Любимому шефу,,99-00000075,2.000,1.000
02.01.2016,,Щука,,Рулетка пьяная Горячая встреча,,01-00002274,4.000,1.000
02.01.2016,,Щука,,Рулетка пьяная Повод Собраться,,01-00002556,1.000,1.000
02.01.2016,,Щука,,Ручка Лабиринт с головоломкой  в упаковке 12 шт.,,01-00000606,22.000,1.000
02.01.2016,,Щука,,Сладкие консервы Морская капуста в коробке 24 шт.,,99-00000720,2.000,1.000
02.01.2016,,Щука,,Сладкие консервы Сладкие проявления чувств в коробке 24 шт.,,99-00000733,7.000,1.000
02.01.2016,,Щука,,Сладкие консервы Черное золото в коробке 24 шт.,,99-00000716,5.000,1.000
02.01.2016,,Щука,,Сладкое средство От всех проблем в коробке 12 шт.,,99-00000562,3.000,1.000
02.01.2016,,Щука,,Спички Антиконфликтные,,УТ000000051,8.000,1.000
02.01.2016,,Щука,,Стиральная Карта Мира ,,СК-00000293,13.000,1.000
02.01.2016,,Щука,,Табличка на стол ТИХО! ШЕФ ДУМАЕТ! / ПО ПУСТЯКАМ Н,,УТ000000959,5.000,1.000
02.01.2016,,Щука,,Табличка на стол Частная территория/Магистр черной и белой бух,,01-00002778,3.000,1.000
02.01.2016,,Щука,,Табличка на стол Шеф всегда/идеи шефа,,УТ-00000295,3.000,1.000
02.01.2016,,Щука,,Трубочка для напитков Сердце,,99-00001195,2.000,1.000
02.01.2016,,Щука,,Фоторамка Эмоции в кубе,,СК-00000201,1.000,1.000
02.01.2016,,Щука,,Хлопушка Бумфети большая,,99-00000701,7.000,2.000
02.01.2016,,Щука,,Хлопушка Супер вечеринка,,01-00001438,4.000,2.000
02.01.2016,,Щука,,Часы для Счастливых Да какая разница,,УТ000000529,3.000,1.000
02.01.2016,,Щука,,Чековая книжка желаний Для Него,,01-00002449,10.000,1.000
